year,age,race,sex,marital,educ,degree,sibs,agekdbrn,coninc,region,partyid,wrkstat,hrs1,earnrs,happy,health,relig,attend,postlife,socrel,news,tvhours,satjob,class,satfin,polviews,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,fear,owngun,hunt,gunlaw,grass,courts,fepol,fefam,fehire,vote_last_pres_election
2018,47,black,male,married,12,high school,6,29,9638.75,south,"independent, close to democrat","unemployed, laid off, looking for work",NA,1,very happy,good,protestant,about once or twice a year,yes,about once a month,once a week,5,moderately satisfied,lower class,not satisfied at all,liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"no, neither r nor spouse hunts",oppose,iap,too harshly,disagree,agree,iap,voted
1998,44,other,female,married,12,high school,4,19,29424,northeast,strong democrat,working full time,36,2,very happy,excellent,catholic,several times a year,yes,several times a month,every day,4,moderately satisfied,working class,more or less satisfied,"moderate, middle of the road",only some,only some,only some,a great deal,only some,only some,a great deal,a great deal,only some,only some,don't know,only some,only some,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,agree,iap,voted
2018,23,white,male,never married,13,high school,1,NA,84120,south,not very strong republican,working full time,37,3,pretty happy,excellent,none,never,yes,iap,iap,NA,very satisfied,working class,more or less satisfied,slightly liberal,a great deal,only some,a great deal,a great deal,hardly any,a great deal,only some,a great deal,a great deal,a great deal,only some,only some,a great deal,no,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,voted
1998,67,white,female,widowed,12,high school,5,27,NA,northeast,strong democrat,retired,NA,1,very happy,good,catholic,every week,yes,once or twice a week,every day,4,iap,middle class,more or less satisfied,"moderate, middle of the road",only some,a great deal,a great deal,only some,only some,hardly any,only some,hardly any,only some,a great deal,only some,hardly any,only some,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,strongly disagree,iap,voted
2018,23,black,female,never married,16,bachelor's,6,NA,19277.5,west,"independent, close to republican",in school,NA,1,very happy,excellent,protestant,never,yes,iap,iap,NA,iap,middle class,pretty well satisfied,"moderate, middle of the road",hardly any,hardly any,hardly any,only some,hardly any,a great deal,hardly any,a great deal,hardly any,hardly any,only some,hardly any,only some,yes,no,"no, neither r nor spouse hunts",favor,should be legal,too harshly,iap,iap,iap,did not vote
1998,63,white,male,married,12,high school,4,23,22737,south,not very strong republican,working full time,35,0,pretty happy,fair,protestant,several times a week,yes,several times a year,a few times a week,3,very satisfied,working class,not satisfied at all,conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"yes, spouse does",favor,iap,not harshly enough,disagree,disagree,iap,voted
1998,44,white,female,married,12,high school,1,28,72223,northeast,not very strong republican,working part time,24,2,very happy,excellent,protestant,several times a year,yes,iap,iap,2,moderately satisfied,middle class,more or less satisfied,"moderate, middle of the road",a great deal,a great deal,a great deal,a great deal,only some,only some,only some,a great deal,only some,a great deal,a great deal,a great deal,a great deal,no,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,did not vote
1998,33,white,female,married,18,graduate,5,NA,72223,south,strong democrat,working full time,40,2,pretty happy,good,catholic,every week,yes,several times a year,once a week,2,moderately satisfied,middle class,more or less satisfied,liberal,hardly any,only some,only some,only some,hardly any,hardly any,hardly any,hardly any,hardly any,only some,a great deal,hardly any,only some,iap,iap,iap,iap,should not be legal,about right,disagree,strongly disagree,iap,voted
1998,79,white,male,widowed,12,high school,1,NA,14712,west,strong democrat,retired,NA,1,not too happy,good,protestant,never,don't know,about once a year,less than once a week,4,iap,working class,pretty well satisfied,liberal,only some,only some,hardly any,only some,only some,only some,hardly any,only some,only some,only some,a great deal,only some,hardly any,iap,iap,iap,iap,should be legal,not harshly enough,disagree,disagree,iap,voted
2018,34,other,male,never married,12,high school,6,NA,NA,west,"independent (neither, no response)",keeping house,NA,0,not too happy,poor,none,never,yes,never,never,3,moderately satisfied,upper class,pretty well satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,yes,"no, neither r nor spouse hunts",oppose,iap,not harshly enough,disagree,disagree,strongly agree,did not vote
1998,18,white,female,never married,11,less than high school,4,NA,72223,northeast,"independent (neither, no response)",working part time,17,3,pretty happy,good,catholic,less than once a year,yes,several times a year,a few times a week,2,moderately satisfied,working class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,don't know,"no, neither r nor spouse hunts",favor,iap,not harshly enough,agree,agree,iap,ineligible
1998,60,white,female,divorced,10,less than high school,6,18,3745,midwest,not very strong democrat,other,NA,0,pretty happy,good,protestant,less than once a year,yes,iap,iap,4,iap,working class,more or less satisfied,slightly conservative,only some,only some,only some,only some,hardly any,only some,a great deal,only some,only some,only some,only some,only some,a great deal,yes,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,did not vote
1998,25,white,female,never married,16,bachelor's,1,NA,25412,midwest,not very strong republican,working full time,55,1,pretty happy,excellent,protestant,2-3 times a month,yes,several times a year,every day,2,very satisfied,middle class,more or less satisfied,"moderate, middle of the road",a great deal,a great deal,a great deal,only some,only some,only some,only some,a great deal,only some,a great deal,a great deal,a great deal,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,agree,iap,voted
2018,67,white,female,divorced,16,bachelor's,2,40,70100,northeast,"independent, close to democrat",retired,NA,2,pretty happy,good,other,several times a year,yes,several times a month,a few times a week,2,iap,middle class,pretty well satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,strongly disagree,strongly agree,voted
2018,40,other,female,married,16,bachelor's,1,22,112160,west,"independent (neither, no response)",keeping house,NA,2,pretty happy,iap,buddhism,never,yes,almost daily,never,1,don't know,middle class,more or less satisfied,conservative,only some,only some,a great deal,a great deal,only some,only some,only some,a great deal,a great deal,only some,a great deal,only some,a great deal,iap,iap,iap,iap,should be legal,don't know,disagree,agree,disagree,did not vote
1998,39,white,female,married,12,high school,6,27,6955,south,not very strong democrat,keeping house,NA,1,very happy,fair,protestant,several times a year,yes,about once a month,once a week,6,moderately satisfied,working class,more or less satisfied,liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,yes,"yes, spouse does",oppose,iap,too harshly,agree,disagree,iap,voted
2018,45,black,female,never married,14,high school,6,19,6309,northeast,"independent, close to democrat","unemployed, laid off, looking for work",NA,2,not too happy,good,protestant,never,yes,almost daily,less than once a week,0,a little dissatisfied,working class,not satisfied at all,don't know,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,don't know,disagree,strongly disagree,iap,voted
1998,42,white,male,married,12,high school,4,26,34774,midwest,not very strong democrat,working full time,60,1,pretty happy,good,none,never,don't know,once or twice a week,every day,2,moderately satisfied,working class,pretty well satisfied,"moderate, middle of the road",only some,a great deal,don't know,a great deal,only some,a great deal,hardly any,a great deal,only some,only some,only some,only some,only some,iap,iap,iap,iap,should not be legal,not harshly enough,agree,agree,iap,did not vote
1998,36,white,female,married,15,bachelor's,2,28,72223,northeast,"independent (neither, no response)",working full time,40,2,very happy,good,catholic,every week,no,once or twice a week,less than once a week,2,very satisfied,working class,pretty well satisfied,"moderate, middle of the road",only some,hardly any,only some,only some,only some,only some,hardly any,a great deal,a great deal,a great deal,only some,a great deal,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,no answer,disagree,iap,ineligible
2018,46,black,female,never married,13,associate/junior college,2,19,31544.999999999996,northeast,strong democrat,working full time,45,3,pretty happy,iap,protestant,less than once a year,yes,several times a month,never,3,moderately satisfied,working class,not satisfied at all,"moderate, middle of the road",a great deal,only some,only some,hardly any,hardly any,only some,only some,a great deal,only some,only some,a great deal,only some,a great deal,iap,iap,iap,iap,should be legal,not harshly enough,disagree,strongly disagree,agree,voted
1998,40,white,female,married,13,associate/junior college,3,23,48149,midwest,not very strong republican,keeping house,NA,1,very happy,good,catholic,every week,iap,iap,iap,NA,very satisfied,working class,more or less satisfied,"moderate, middle of the road",only some,only some,a great deal,only some,only some,only some,hardly any,only some,hardly any,only some,only some,only some,only some,no,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,voted
2018,19,white,female,never married,13,high school,3,NA,38555,south,strong republican,working part time,20,3,very happy,excellent,protestant,2-3 times a month,yes,several times a month,never,0,moderately satisfied,working class,more or less satisfied,conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,disagree,iap,ineligible
2018,57,white,male,never married,12,high school,2,NA,NA,midwest,"independent (neither, no response)",working full time,1,1,pretty happy,iap,protestant,about once or twice a year,no,about once a year,once a week,2,very satisfied,working class,more or less satisfied,"moderate, middle of the road",only some,only some,hardly any,only some,only some,hardly any,only some,hardly any,only some,only some,only some,only some,a great deal,iap,iap,iap,iap,should be legal,not harshly enough,disagree,disagree,neither agree nor disagree,voted
1998,56,white,female,married,12,high school,1,21,48149,midwest,"independent (neither, no response)",keeping house,NA,1,pretty happy,fair,protestant,2-3 times a month,yes,about once a month,never,4,moderately satisfied,working class,not satisfied at all,slightly conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,agree,iap,voted
2018,64,white,female,married,12,high school,2,30,57832.5,west,other party,retired,NA,2,pretty happy,poor,protestant,every week,yes,several times a month,never,4,iap,working class,pretty well satisfied,conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,agree,neither agree nor disagree,voted
2018,21,white,male,never married,14,high school,3,NA,112160,south,"independent, close to democrat","unemployed, laid off, looking for work",NA,3,pretty happy,excellent,none,about once a month,yes,several times a month,once a week,1,very satisfied,middle class,more or less satisfied,slightly liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,too harshly,disagree,disagree,iap,did not vote
2018,62,black,male,divorced,18,graduate,6,45,57832.5,south,strong democrat,working full time,40,1,pretty happy,good,protestant,about once a month,yes,about once a month,a few times a week,2,very satisfied,middle class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,agree,agree,voted
2018,25,white,female,never married,14,high school,2,22,16648.75,midwest,"independent (neither, no response)",working full time,35,1,not too happy,poor,christian,2-3 times a month,yes,almost daily,less than once a week,0,very satisfied,lower class,not satisfied at all,liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,too harshly,disagree,agree,iap,did not vote
1998,37,white,female,married,8,less than high school,3,17,12037,south,not very strong republican,working full time,40,3,not too happy,don't know,catholic,never,yes,almost daily,less than once a week,3,moderately satisfied,working class,more or less satisfied,"moderate, middle of the road",don't know,don't know,only some,only some,don't know,don't know,don't know,don't know,only some,don't know,don't know,don't know,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,disagree,iap,don't know
1998,56,white,female,married,16,bachelor's,4,25,148796,west,not very strong republican,working full time,40,2,very happy,excellent,protestant,every week,yes,once or twice a week,a few times a week,1,very satisfied,middle class,pretty well satisfied,conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,yes,"yes, spouse does",oppose,iap,not harshly enough,disagree,disagree,iap,voted
1998,54,white,male,married,12,high school,4,27,9630,west,"independent, close to democrat",working full time,40,1,pretty happy,fair,none,never,yes,about once a month,once a week,6,moderately satisfied,working class,not satisfied at all,"moderate, middle of the road",hardly any,only some,only some,only some,hardly any,hardly any,hardly any,only some,only some,only some,only some,hardly any,only some,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,disagree,iap,did not vote
1998,60,black,female,married,14,high school,5,20,34774,northeast,strong democrat,working full time,38,2,pretty happy,good,protestant,2-3 times a month,don't know,several times a year,every day,3,very satisfied,working class,more or less satisfied,"moderate, middle of the road",hardly any,only some,a great deal,a great deal,a great deal,only some,hardly any,a great deal,hardly any,don't know,don't know,a great deal,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,disagree,iap,voted
2018,23,white,male,never married,12,high school,2,NA,NA,midwest,strong republican,working full time,40,2,pretty happy,good,protestant,never,yes,iap,iap,NA,moderately satisfied,working class,pretty well satisfied,slightly conservative,only some,don't know,don't know,don't know,don't know,don't know,hardly any,only some,hardly any,don't know,only some,don't know,only some,no,yes,"yes, respondent does",oppose,should not be legal,not harshly enough,iap,iap,iap,voted
2018,67,white,female,never married,16,bachelor's,2,NA,57832.5,midwest,strong democrat,retired,NA,1,pretty happy,good,protestant,every week,yes,iap,iap,NA,iap,middle class,pretty well satisfied,liberal,only some,only some,a great deal,a great deal,hardly any,only some,only some,a great deal,only some,a great deal,a great deal,only some,only some,yes,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,voted
2018,56,white,female,married,12,high school,4,22,70100,south,not very strong democrat,"with a job, but not at work because of temporary illness, vacation, strike",NA,1,not too happy,poor,protestant,never,yes,almost daily,never,4,very satisfied,middle class,not satisfied at all,slightly conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,yes,"no, neither r nor spouse hunts",favor,iap,don't know,disagree,agree,agree,did not vote
1998,67,white,female,married,12,high school,3,19,34774,south,not very strong republican,working part time,25,2,pretty happy,good,protestant,every week,yes,almost daily,every day,4,very satisfied,working class,more or less satisfied,slightly conservative,only some,only some,only some,only some,only some,only some,only some,only some,only some,hardly any,only some,only some,only some,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,agree,iap,voted
1998,24,black,male,never married,13,high school,2,23,22737,south,strong democrat,working full time,80,1,not too happy,fair,christian,nearly every week,yes,several times a year,a few times a week,5,very dissatisfied,working class,not satisfied at all,liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,agree,strongly agree,iap,did not vote
1998,35,white,female,married,8,less than high school,6,18,40124,west,not very strong democrat,working full time,40,2,very happy,good,protestant,several times a week,yes,several times a month,never,1,very satisfied,working class,more or less satisfied,conservative,a great deal,only some,only some,only some,only some,only some,only some,a great deal,only some,a great deal,a great deal,a great deal,a great deal,iap,iap,iap,iap,should not be legal,about right,agree,disagree,iap,did not vote
1998,67,white,female,married,12,high school,3,19,58849,south,not very strong democrat,working full time,40,2,not too happy,fair,protestant,less than once a year,don't know,iap,iap,3,moderately satisfied,middle class,more or less satisfied,"moderate, middle of the road",only some,hardly any,only some,only some,only some,hardly any,only some,only some,only some,only some,only some,hardly any,only some,no,yes,"no, neither r nor spouse hunts",oppose,should be legal,not harshly enough,iap,iap,iap,voted
1998,34,white,male,married,16,bachelor's,2,32,58849,west,"independent, close to democrat",working full time,40,2,pretty happy,fair,none,less than once a year,don't know,several times a year,a few times a week,3,very satisfied,middle class,more or less satisfied,liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,don't know,disagree,disagree,iap,voted
2018,22,other,female,never married,12,high school,2,NA,38555,west,"independent (neither, no response)",working full time,40,3,pretty happy,iap,catholic,several times a year,yes,once or twice a week,never,0,very satisfied,working class,more or less satisfied,slightly liberal,only some,only some,a great deal,a great deal,only some,only some,only some,a great deal,only some,a great deal,only some,hardly any,only some,iap,iap,iap,iap,should be legal,too harshly,agree,strongly agree,iap,did not vote
1998,44,white,female,married,12,high school,3,19,106998,south,not very strong democrat,working full time,34,3,pretty happy,excellent,protestant,2-3 times a month,yes,several times a month,once a week,1,very satisfied,working class,pretty well satisfied,"moderate, middle of the road",only some,only some,only some,only some,hardly any,only some,hardly any,only some,only some,only some,only some,only some,only some,iap,iap,iap,iap,should not be legal,not harshly enough,agree,agree,iap,voted
2018,66,white,female,divorced,18,graduate,1,29,26287.5,west,strong democrat,retired,NA,0,not too happy,good,protestant,2-3 times a month,don't know,several times a month,every day,0,iap,middle class,pretty well satisfied,extremely liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,about right,disagree,strongly disagree,strongly agree,voted
2018,75,white,female,married,10,less than high school,4,17,22782.5,south,"independent, close to democrat",retired,NA,0,very happy,fair,catholic,never,yes,never,never,1,iap,middle class,pretty well satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,strongly disagree,iap,voted
1998,44,white,female,widowed,12,high school,3,19,40124,south,not very strong republican,working full time,60,2,pretty happy,good,none,never,iap,iap,iap,NA,moderately satisfied,working class,not satisfied at all,don't know,only some,only some,don't know,only some,hardly any,hardly any,only some,a great deal,only some,only some,only some,only some,only some,no,yes,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,voted
2018,63,white,female,divorced,15,associate/junior college,6,22,NA,west,strong democrat,"unemployed, laid off, looking for work",NA,3,pretty happy,good,protestant,2-3 times a month,yes,never,never,2,very satisfied,lower class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,no,"no, neither r nor spouse hunts",oppose,iap,about right,disagree,disagree,agree,voted
2018,88,black,male,divorced,10,less than high school,1,24,7886.249999999999,midwest,not very strong democrat,retired,NA,1,pretty happy,fair,protestant,never,yes,about once a month,every day,10,iap,working class,not satisfied at all,slightly liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,don't know,agree,agree,did not vote
1998,38,other,male,married,12,high school,3,19,72223,northeast,not very strong republican,working full time,75,2,pretty happy,good,protestant,never,iap,iap,iap,NA,moderately satisfied,working class,not satisfied at all,slightly conservative,hardly any,only some,hardly any,hardly any,only some,only some,hardly any,hardly any,hardly any,only some,hardly any,only some,only some,no,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,voted
2018,43,white,male,never married,14,associate/junior college,4,NA,NA,northeast,not very strong republican,"with a job, but not at work because of temporary illness, vacation, strike",NA,1,pretty happy,good,christian,2-3 times a month,yes,several times a year,less than once a week,3,very satisfied,working class,not satisfied at all,conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,agree,disagree,iap,voted
1998,48,white,male,married,12,high school,3,20,72223,south,not very strong republican,working full time,48,2,pretty happy,excellent,protestant,several times a week,yes,about once a month,once a week,NA,very satisfied,working class,pretty well satisfied,conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"yes, respondent does",oppose,iap,not harshly enough,disagree,strongly agree,iap,voted
1998,72,white,male,married,19,graduate,1,23,72223,west,strong democrat,retired,NA,0,pretty happy,fair,jewish,less than once a year,iap,iap,iap,NA,iap,middle class,pretty well satisfied,slightly liberal,a great deal,a great deal,only some,a great deal,a great deal,only some,a great deal,a great deal,only some,a great deal,a great deal,only some,a great deal,no,no,"no, neither r nor spouse hunts",favor,should be legal,about right,iap,iap,iap,voted
2018,48,other,female,married,12,high school,1,23,38555,west,strong democrat,keeping house,NA,2,very happy,excellent,muslim/islam,about once or twice a year,yes,about once a month,once a week,3,very satisfied,working class,more or less satisfied,liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,no,"no, neither r nor spouse hunts",don't know,iap,too harshly,disagree,agree,iap,voted
2018,55,white,female,married,16,bachelor's,3,NA,152135.07879,west,"independent, close to republican",working full time,37,2,pretty happy,excellent,protestant,less than once a year,no,once or twice a week,never,3,moderately satisfied,upper class,pretty well satisfied,slightly conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,strongly disagree,iap,did not vote
1998,39,white,male,married,17,bachelor's,1,32,106998,west,not very strong republican,working full time,60,2,very happy,excellent,protestant,2-3 times a month,yes,about once a month,once a week,1,very satisfied,middle class,pretty well satisfied,slightly conservative,hardly any,hardly any,only some,only some,a great deal,hardly any,only some,a great deal,only some,a great deal,a great deal,only some,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,don't know,iap,voted
1998,49,white,female,divorced,18,graduate,4,33,40124,west,not very strong democrat,working full time,45,1,pretty happy,good,protestant,several times a year,yes,about once a month,every day,2,very satisfied,middle class,more or less satisfied,slightly liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,about right,disagree,strongly disagree,iap,voted
1998,34,white,female,married,12,high school,2,22,106998,south,"independent (neither, no response)",working part time,25,2,very happy,excellent,protestant,never,iap,iap,iap,NA,very satisfied,working class,more or less satisfied,"moderate, middle of the road",only some,only some,hardly any,hardly any,only some,only some,only some,only some,only some,only some,only some,only some,only some,yes,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,did not vote
1998,51,white,male,married,16,high school,6,23,148796,west,strong republican,working full time,40,2,very happy,excellent,none,never,don't know,several times a month,every day,1,very satisfied,upper class,pretty well satisfied,conservative,a great deal,a great deal,a great deal,a great deal,a great deal,only some,only some,a great deal,hardly any,a great deal,a great deal,only some,a great deal,iap,iap,iap,iap,should not be legal,about right,disagree,disagree,iap,voted
2018,47,white,female,divorced,13,high school,0,21,47317.5,south,not very strong republican,working part time,40,1,very happy,good,catholic,nearly every week,yes,almost daily,less than once a week,4,very satisfied,middle class,pretty well satisfied,slightly liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,strongly disagree,iap,did not vote
2018,19,white,male,never married,12,high school,1,NA,70100,south,other party,in school,NA,3,not too happy,excellent,catholic,several times a year,yes,iap,iap,NA,iap,middle class,pretty well satisfied,"moderate, middle of the road",a great deal,only some,a great deal,a great deal,only some,only some,only some,only some,hardly any,a great deal,a great deal,only some,a great deal,yes,yes,"no, neither r nor spouse hunts",oppose,should be legal,about right,iap,iap,iap,ineligible
