field_plot_number,date,location,transect_number,latitude,longitude,geographic_landmark,elevation,plot_radius,plot_size,site_physiography,slope,aspect,surface_geomorphology_unit,subsurface_geomorphology_unit ,macrotopography,microtopography,microrelief,water_regime,water_depth,saturated_less_than_30cm,drainage,soil_moisture,lowest_mottle_depth,low_matrix_depth,hydric_soil,water_ph,water_conductivity,soil_ph_10cm,soil_ph_30cm,soil_conductivity,site_ph,site_conductivity,site_chemistry,thaw_depth,permafrost,top_organic_layer_depth,cumulative_organic_layers,dominant_mineral_texture_top_40cm,loess_thickness,root_depth,surface_fragment_cover,frost_boils,rock_depth,cryoturbation,soil_stratigraphy,soil_sample,soil_plug_probe_max_depth,soil_sampling_method,soil_class,soil_association,vegetation_classification,ecotype_veg_structure,disturbance_classes,field_floristic_class,field_floristic_class,final_floristic_class,plot_ecotype,dominant_plants,ecotype_analysis,environmental_outliers,vegetation_outlier,geomorphology_data_review,ecotype_rare,veg_sampling_quality,ecotype_abbrev,map_ecotype_arctic_network_nps,map_ecotype_abbrev_arctic_network_nps,map_veg_arctic_network_nps,soil_landscape_description,cover_needleleaf_trees,needleleaf_tree_crown_class,cover_broadleaf_trees,broadleaf_tree_crown_class,cover_dwarf_broadleaf,dwarf_broadleaf_crown_class,Cover_dwarf_needleleaf,cover_dwarf_needleaf,cover_standing_dead_trees,cover_tall_shrubs,cover_low_shrubs,cover_dwarf_shrubs,cover_graminoids,cover_tussock,cover_forbs,cover_mosses,cover_lichens,cover_litter,cover_litter_alone,cover_bare_soil,cover_water,notes,field_notes,observer_environ_data,observer_veg_data,office_notes,data_origin
BELA_T02_05_2002,20020714,Bering Land Bridge National Preserve,T2,65.4736,-164.1501333,Upper Kuzitrin lowlands,60,10,314,lowland,0,Too flat to determine,Ltic,NA,"Basin, Drained",Ice-cored mounds,25,Saturated,-17,Yes,Very poorly drained,Wet,-9999,-9999,Yes,-9999,-9999,4.9,-9999,60,4.9,60,a,26,NA,6,6,Loamy,0,-9999,0,0,200,No,No,Yes,-9999,Plug,Goat,"Typic Aquorthels-Typic Historthels, loamy",Slcbw,LS,NA,NA,Betula nana-Salix planifolia ssp. pulchra-Empetrum nigrum,Betula nana-Salix planifolia ssp. pulchra-Eriophorum angustifolium,LLAWLS-BET-SAL,Moss-betnan-salpul-petfri-pyrgra-calcan-empnig,Y,No,No,Yes,No,4,Lowland Birch-Willow Low Shrub,Lowland Moist Dwarf Birch-Ericaceous-Willow Low Shrub,Lowland Birch-Ericaceous-Willow Low Shrub,Dwarf Birch-Ericaceous-Willow Low Shrub,Lowland Organic-rich Shrub and Forests,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,90,0,3,0,5,50,3,30,5,0,0,NA,NA,"Jennifer S. Mitchell, Mark Torre Jorgenson",Mark Torre Jorgenson,Willow/birch/ericaceous low/dwarf,"ABR Inc., Fairbanks, AK"
BELA_T02_06_2002,20020714,Bering Land Bridge National Preserve,T2,65.47786667,-164.1507167,Upper Kuzitrin lowlands,69,10,314,lowland,0,Too flat to determine,Ltic,NA,"Basin, Drained",Hummocks (mineral cored),30,Saturated,-14,Yes,Somewhat poorly drained,Wet,-9999,-9999,Yes,-9999,-9999,5.3,-9999,380,5.3,380,a,16,NA,10,10,Loamy,0,-9999,0,0,200,No,No,Yes,-9999,Plug,Goat,"Typic Hemistels-Typic Fibristels, dysic",Slcbe,LS,NA,NA,Ledum decumbens-Vaccinium vitis-idaea-fruticose/foliose lichen,Ledum decumbens-Vaccinium vitis-idaea-fruticose/foliose lichen,LLAWLS-BET-LED,Moss-betnan-leddec-vaculi-vacvit-Lichen-empnig,Y,No,No,Yes,No,4,Lowland Birch-Ericaceous Low Shrub,Lowland Moist Dwarf Birch-Ericaceous-Willow Low Shrub,Lowland Birch-Ericaceous-Willow Low Shrub,Dwarf Birch-Ericaceous-Willow Low Shrub,Lowland Organic-rich Shrub and Forests,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,80,10,1,0,1,30,3,60,3,0,0,NA,Shrubs about 20 cm,"Jennifer S. Mitchell, Mark Torre Jorgenson",Mark Torre Jorgenson,New class,"ABR Inc., Fairbanks, AK"
BELA_T02_07_2002,20020714,Bering Land Bridge National Preserve,T2,65.48481667,-164.14325,Upper Kuzitrin lowlands,66,10,314,lowland,0,Too flat to determine,Ob,Ltiu,"Basin, Drained","Low-centered, low relief, low-density",25,Seasonally Flooded,5,Yes,Very poorly drained,Wet,-9999,-9999,Yes,4.9,70,-9999,-9999,-9999,4.9,70,a,31,NA,31,31,Organic rich,0,-9999,0,0,200,No,No,No,-9999,Plug,Ghft,"Typic Hemistels-Typic Fibristels, dysic",Hgwsmb,BM,NA,NA,Sphagnum sp.-Andromeda polifolia-Betula nana,Andromeda polifolia-Sphagnum sp.,LOAWSMP-CARAQU,Moss-caraqu-carrar-erisch-vaculi-leddec-oxymic,Y,No,No,Yes,No,4,Lowland Ericaceous Shrub Bog,Lowland Acidic Ericaceous Shrub Bog,Lowland Ericaceous Shrub Bog,Ericaceous Shrub Bog,Lowland Bogs and Fens,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,1,5,20,0,1,70,0,40,5,0,10,NA,NA,"Jennifer S. Mitchell, Mark Torre Jorgenson",Mark Torre Jorgenson,Review--lowland dwarf scrub bog?,"ABR Inc., Fairbanks, AK"
BELA_T02_08_2002,20020714,Bering Land Bridge National Preserve,T2,65.48405,-164.13744,Upper Kuzitrin lowlands,-9999,10,314,upland,0,Too flat to determine,Ell,Na,NA,NA,25,Saturated,0,Yes,Poorly drained,Wet,-9999,-9999,Yes,4.9,220,-9999,-9999,-9999,4.9,220,a,23,NA,18,18,Loamy,0,-9999,0,0,200,Yes,No,No,-9999,Plug,Gtat,"Typic Historthels-Typic Aquiturbels, loamy",Slott,LS,NA,NA,Eriophorum vaginatum-Ledum decumbens,Betula nana-Eriophorum vaginatum,ULAWST-ERI-LED,Lichen-Moss-erivag-leddec-betnan-empnig-vacvit,Y,No,No,Yes,No,4,Upland Dwarf Birch-Tussock Shrub,Upland Organic-rich Moist Acidic Dwarf Birch-Tussock Shrub,Upland Dwarf Birch-Tussock Shrub,Dwarf Birch-Tussock Shrub,Upland Loamy Wet Tussock Shrublands,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,5,50,15,15,3,30,40,10,5,1,0,NA,NA,"Jennifer S. Mitchell, Mark Torre Jorgenson",Mark Torre Jorgenson,"Mostly dwarf shrub, turbation listed as absent but bottom of soil indicates turbation","ABR Inc., Fairbanks, AK"
BELA_T02_09_2002,20020714,Bering Land Bridge National Preserve,T2,65.48358333,-164.13445,Upper Kuzitrin lowlands,-9999,10,314,lowland,0,Too flat to determine,Of,Ltnu,"Basin, Drained",NA,5,Semipermanently Flooded,5,Yes,Very poorly drained,Wet,-9999,-9999,Yes,6.1,100,-9999,-9999,-9999,6.1,100,c,41,NA,41,40,Organic rich,0,-9999,0,0,200,No,No,No,-9999,NA,Ghft,"Typic Fibristels, dysic",Hgwst,BM,NA,NA,Carex chordorrhiza-Carex aquatilis,Carex chordorrhiza-Carex aquatilis,LONWSP-CARAQU,water-Moss-caraqu-erisch-carrot-utrvul-carcho-salf,Y,No,No,Yes,No,4,Lowland Sedge Fen,Lowland Circumacidic Sedge Fen,Lowland Sedge Fen,Sedge Fen,Lowland Bogs and Fens,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,0,1,15,0,0,20,0,5,4,20,70,NA,NA,"Jennifer S. Mitchell, Mark Torre Jorgenson",Mark Torre Jorgenson,NA,"ABR Inc., Fairbanks, AK"
BELA_T03_01_2002,20020710,Bering Land Bridge National Preserve,T3,65.55236,-163.69836,Imuruk Lake Lava Fields,207,10,314,upland,0,Too flat to determine,Vmo,NA,Complex Patterns,"Rocks, blockfields",30,Upland,-200,No,Excessively drained,Dry,-9999,-9999,No,-9999,-9999,-9999,-9999,-9999,-9999,-9999,c,-9999,NA,0,0,Blocky,0,-9999,-9999,0,0,No,No,No,-9999,Surface,NA,"Typic Dystrogeleptsand Bedrock, coarse",Hbl,BP,NA,NA,lich foliose/fruticose-Racomitrium sp.-Cassiope tetragona,Cladina stellaris-Loiseleuria procumbens,UR_DL,Lichen-cargla-castet-empnig-leddec-loipro-Moss,Y,No,No,Yes,No,4,Upland Mafic Barrens,NA,NA,NA,Upland Rocky Circumalkaline Barrens,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,0,1,0.1,0,0.1,0.1,85,1,1,15,0.1,Lichens 75 percent crustose,85 percent lichen see JER field notes,"Jennifer S. Mitchell, Joanna E. Roth","Joanna E. Roth, Jennifer S. Mitchell",NA,"ABR Inc., Fairbanks, AK"
BELA_T03_02_2002,20020710,Bering Land Bridge National Preserve,T3,65.55305,-163.6960333,Imuruk Lake Lava Fields,194,10,314,upland,0,Too flat to determine,Vmo,NA,Complex Patterns,Rocky mounds/outcrops,100,Upland,-200,No,Well drained,Moist,-9999,-9999,No,-9999,-9999,6.5,-9999,30,6.5,30,c,-9999,NA,3,3,Blocky,0,-9999,-9999,0,3,No,No,No,-9999,Plug,Igdl,NA,Slobe,LS,NA,NA,Betula nana-Loiseleuria procumbens-Flavocetraria nivalis,Cladina stellaris-Loiseleuria procumbens,URNMLS-LED-BET,Lichen-leddec-loipro-betnan-Moss-vaculi-vacvit,N,Geomorphology,No,Yes,No,4,Upland Mafic Barrens,NA,NA,NA,Upland Rocky Circumalkaline Barrens,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,1,30,0.1,0,0,1,65,5,0,5,0,Mostly vegetated with barren mounds,NA,"Jennifer S. Mitchell, Joanna E. Roth","Joanna E. Roth, Jennifer S. Mitchell","Borderline Sdet with lots of lichens, organics insufficient for histosol","ABR Inc., Fairbanks, AK"
BELA_T03_03_2002,20020710,Bering Land Bridge National Preserve,T3,65.55676667,-163.6889833,Imuruk Lake Lava Fields,190,10,314,upland,0,Too flat to determine,Vmo,NA,Complex Patterns,"Rocks, blockfields",75,Upland,-200,No,Excessively drained,Dry,-9999,-9999,No,-9999,-9999,-9999,-9999,-9999,-9999,-9999,c,-9999,NA,0,0,Blocky,0,-9999,-9999,0,0,No,No,No,-9999,Surface,NA,"Typic Dystrogeleptsand Bedrock, coarse",Hbl,BP,NA,NA,lich foliose/fruticose-Racomitrium sp.-Cassiope tetragona,Cladina stellaris-Loiseleuria procumbens,UR_DL,Lichen-Moss-empnig-fesrub-hiealp-loipro-potfru,Y,No,No,Yes,No,4,Upland Mafic Barrens,NA,NA,NA,Upland Rocky Circumalkaline Barrens,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,0.1,0.1,0.1,0,0.1,1,70,1,1,25,0,NA,70 percent lichens,"Jennifer S. Mitchell, Joanna E. Roth","Joanna E. Roth, Jennifer S. Mitchell",NA,"ABR Inc., Fairbanks, AK"
BELA_T03_04_2002,20020710,Bering Land Bridge National Preserve,T3,65.5597,-163.6801333,Imuruk Lake Lava Fields,187,10,314,lowland,0,Too flat to determine,Ell,Vmo,Complex Patterns,Rocky mounds/outcrops,50,Upland,-9999,No,Somewhat poorly drained,Moist,-9999,-9999,Yes,-9999,-9999,6.3,-9999,47,6.3,47,c,-9999,NA,12,12,Loamy,0,-9999,0,0,53,No,No,No,-9999,Plug,Igdl,"Typic Aquorthels-Typic Historthels, loamy",Slobw,LS,NA,NA,Betula nana-Salix planifolia ssp. pulchra-Empetrum nigrum,Betula nana-Salix planifolia ssp. pulchra-Eriophorum angustifolium,LLNMLS-BET-SAL,betnan-vaculi-Moss-salpul-Lichen-carbig-leddec,Y,No,No,Yes,No,4,Lowland Birch-Willow Low Shrub,Lowland Moist Dwarf Birch-Ericaceous-Willow Low Shrub,Lowland Birch-Ericaceous-Willow Low Shrub,Dwarf Birch-Ericaceous-Willow Low Shrub,Lowland Organic-rich Shrub and Forests,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0.1,40,30,5,0,3,25,5,35,2,10,0.1,Small barren blocky mounds,Soil covered rocky mounds,"Jennifer S. Mitchell, Joanna E. Roth","Joanna E. Roth, Jennifer S. Mitchell","Lowland rocky, lithic, permafrost below 100 cm","ABR Inc., Fairbanks, AK"
BELA_T03_05_2002,20020710,Bering Land Bridge National Preserve,T3,65.55948333,-163.678,Imuruk Lake Lava Fields,185,10,314,upland,0,Too flat to determine,Ob,Vmo,Flat or Fluvial Related,NA,20,Saturated,-20,Yes,Somewhat poorly drained,Moist,-9999,-9999,Yes,-9999,-9999,-9999,-9999,-9999,-9999,-9999,c,20,NA,20,20,NA,0,-9999,0,0,200,No,No,Yes,-9999,Plug,Goht,"Typic Historthels-Typic Aquiturbels, loamy",Hgmt,TM,NA,NA,Eriophorum vaginatum-Ledum decumbens,Betula nana-Eriophorum vaginatum,UO_MTP-ERI-BET,Moss-erivag-betnan-carbig-empnig-leddec-rubcha,Y,No,No,Yes,No,2,Upland Dwarf Birch-Tussock Shrub,Upland Organic-rich Moist Acidic Dwarf Birch-Tussock Shrub,Upland Dwarf Birch-Tussock Shrub,Dwarf Birch-Tussock Shrub,Upland Loamy Wet Tussock Shrublands,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,2,15,15,20,5,55,2,20,2,0,0,Structure and cover dry lab,Upland-Lowland Problem,"Jennifer S. Mitchell, Joanna E. Roth","Joanna E. Roth, Jennifer S. Mitchell",NA,"ABR Inc., Fairbanks, AK"
