"","...1","removed","freqchal","pvi2","obama","cperhs","sexexp","book","author","state","antifamily","cmedin","cperba","days2000","occult","language","homosexuality","violence","booktitle"
"61",917,1,1,2.4,0,5.53804213135068,0,171,"Crutcher, Chris","WI",0,4234.5,-1.62372986369269,2474,0,1,1,0,"Athletic Shorts"
"62",190,1,0,-1.8,0,0.33804213135069,0,173,"Birdseye, Tom","FL",0,372,-1.72372986369269,1800,0,0,0,0,"Attack of the Mutant Underwear"
"63",22,0,0,-8.8,1,-4.26195786864932,0,178,"McDaniel, Lurlene","AR",0,-6258.5,-7.32372986369269,3197,0,0,0,0,"Baby Alicia is Dying"
"64",79,1,0,7.4,0,-2.76195786864932,0,179,"Block, Francesca Lia","CA",0,10119,2.57627013630731,120,0,0,1,0,"Baby Be-Bop"
"65",433,1,0,-4.3,0,-1.46195786864932,1,188,"Thompson, Julian","NC",0,-310,-1.52372986369269,1050,0,1,0,0,"Band of Angels"
"66",181,1,0,-1.8,0,0.33804213135069,0,189,"Fitzhugh, Louise","FL",0,372,-1.72372986369269,60,0,0,0,1,"Bang, Bang, You're Dead"
"67",714,0,0,2,1,2.33804213135069,0,193,"Stroud, Jonathan","PA",0,4218,-1.62372986369269,3600,0,0,0,0,"Bartimaeus (series)"
"68",33,1,0,-6.1,0,1.43804213135068,1,196,"Allison, Dorothy","AZ",0,3490.5,-0.52372986369269,982,0,0,0,0,"Bastard Out of Carolina"
"69",511,0,0,-0.7,1,3.43804213135068,0,197,"Miller, Frank","OH",0,2469,-2.92372986369269,3802,0,1,0,0,"Batman:  The Dark Knight Strikes Again"
"70",360,0,0,3.8,0,3.83804213135069,1,198,"Beatty, Scott","MI",0,2966,-2.22372986369269,863,0,0,0,0,"Batman: The Ultimate Guide to the Dark Knight"
"71",873,1,0,-1.7,0,1.93804213135068,0,203,"Kingsolver, Barbara","VA",0,11296,5.47627013630731,510,0,0,0,0,"Bean Trees, The"
"72",715,0,0,2,1,2.33804213135069,0,205,"Meyers, Walter Dean","PA",0,4218,-1.62372986369269,3600,0,0,0,0,"Beast, The"
"73",560,0,0,4,0,5.53804213135068,1,210,"Nicholson, Geoff","OR",0,1274.5,1.07627013630731,1426,0,1,0,0,"Bedlam Burning"
"74",561,0,1,4,0,5.53804213135068,1,214,"Morrison, Toni","OR",0,1274.5,1.07627013630731,990,0,1,0,1,"Beloved"
"75",121,0,0,-0.2,0,7.33804213135069,0,215,"Berenstein, Stan and Jan","CO",0,10346.5,8.67627013630731,1425,0,0,0,1,"Berenstein Bears and the Bully"
"76",183,0,0,-1.8,1,0.33804213135069,1,216,"Johnson, Maureen","FL",0,372,-1.72372986369269,3406,0,0,0,0,"Bermudez Triangle"
"77",535,1,0,-16.9,0,1.03804213135068,1,217,"Johnson, Maureen","OK",1,-3087.5,-3.72372986369269,3014,0,1,1,0,"Bermudez Triangle, The"
"78",343,0,0,11.7,0,5.23804213135068,1,219,"Doctorow, E.L.","MA",0,14048.5,9.17627013630731,840,0,1,0,0,"Best American Short Stories 2000"
"79",566,0,0,4,1,5.53804213135068,1,220,"Labonte, Richard","OR",0,1274.5,1.07627013630731,3600,0,0,0,0,"Best Gay Bondage Erotica"
"80",164,0,0,-0.2,0,7.33804213135069,1,221,"Gould, Judith","CO",0,10346.5,8.67627013630731,1425,0,0,0,0,"Best is Yet to Come"
"81",662,0,0,4,0,5.53804213135068,0,223,"Carter, Alden","OR",0,1274.5,1.07627013630731,180,0,1,0,0,"Between a Rock and a Hard Place"
"82",618,0,0,4,0,5.53804213135068,1,224,"Editors of Penthouse","OR",0,1274.5,1.07627013630731,990,0,0,0,0,"Between the Sheets"
"83",717,0,1,2,1,2.33804213135069,0,228,"Cormier, Robert","PA",0,4218,-1.62372986369269,3600,0,0,0,0,"Beyond the Chocolate War"
"84",718,0,0,2,1,2.33804213135069,0,229,"Various","PA",0,4218,-1.62372986369269,3600,0,0,0,0,"Bible, The"
"85",719,0,0,2,1,2.33804213135069,0,232,"Crocker, Nancy","PA",0,4218,-1.62372986369269,3600,0,0,0,0,"Billie Standish Was Here"
"86",555,0,0,-16.9,0,1.03804213135068,0,237,"Klein, Fritz and Tom Schwartz, editors","OK",0,-3087.5,-3.72372986369269,1800,0,0,0,0,"Bisexual and Gay Husbands"
"87",338,1,0,-9.7,1,-4.76195786864932,0,241,"Bowden, Mark","LA",0,-5120.5,-5.32372986369269,3487,0,1,0,0,"Black Hawk Down"
"88",440,0,0,-4.3,0,-1.46195786864932,0,242,"Burns, Charles","NC",0,-310,-1.52372986369269,2699,0,0,0,1,"Black Hole"
"89",663,0,0,4,0,5.53804213135068,1,244,"Smith, Michael J.","OR",0,1274.5,1.07627013630731,180,0,0,0,0,"Black Men/White Men: Afro-American Gay Life and Culture"
"90",598,0,0,4,0,5.53804213135068,0,245,"Hughes, Lanston","OR",0,1274.5,1.07627013630731,1800,0,0,0,0,"Black Misery"
"91",316,0,0,-11.5,0,6.43804213135068,0,251,"Dobyns, Stephen","KS",0,144.5,1.77627013630731,480,0,0,0,1,"Bleeder"
"92",59,1,0,7.4,1,-2.76195786864932,0,252,"Anaya, Rudolfo","CA",0,10119,2.57627013630731,3214,0,0,0,0,"Bless Me, Ultima"
"93",15,1,0,-13.2,1,-4.26195786864932,0,255,"Oh, Minya","AL",0,-5054,-5.02372986369269,3240,0,1,0,0,"Bling Bling:  Hip Hop's Crown Jewels"
"94",895,0,0,13.4,1,6.83804213135069,1,264,"Grandits, John","VT",0,8467,5.37627013630731,3279,0,0,0,0,"Blue Lipstick:  Concrete Poems"
"95",125,1,1,-0.2,0,7.33804213135069,1,267,"Morrison, Toni","CO",0,10346.5,8.67627013630731,2352,0,0,0,0,"Bluest Eye, The"
"96",684,0,0,2,1,2.33804213135069,0,268,"Redd, Nancy Amanda","PA",0,4218,-1.62372986369269,3179,0,0,0,0,"Body Drama"
"97",619,0,0,4,0,5.53804213135068,0,272,"Donald, David","OR",0,1274.5,1.07627013630731,990,0,0,0,0,"Bombers of World War II"
"98",396,0,0,2.3,1,8.33804213135069,1,273,"Smith, Jeff","MN",0,15378,3.37627013630731,3835,0,0,0,0,"Bone (series)"
"99",720,0,0,2,1,2.33804213135069,0,275,"Smith, Jeff","PA",0,4218,-1.62372986369269,3600,0,1,0,0,"Bone:  Eyes of the Storm"
"100",358,0,0,3.8,1,3.83804213135069,1,276,"Smith, Jeff","MI",0,2966,-2.22372986369269,3684,0,1,0,0,"Bone:  Out of Boneville"
"101",501,0,0,10.2,1,-0.461957868649321,0,279,"Crumb, R.","NY",0,5007.5,3.37627013630731,3675,0,0,0,0,"Book of Genesis"
"102",97,0,0,-0.2,0,7.33804213135069,1,280,"Crumb, R.","CO",0,10346.5,8.67627013630731,1425,0,0,0,0,"Book of Mr. Natural"
"103",632,0,0,4,0,5.53804213135068,0,282,"Curott, Phyllis","OR",0,1274.5,1.07627013630731,510,1,0,0,0,"Book of Shadows"
"104",380,1,0,3.8,1,3.83804213135069,1,286,"Seierstad, Asne","MI",0,2966,-2.22372986369269,3274,0,0,0,0,"Bookseller of Kabul, The"
"105",604,0,0,4,0,5.53804213135068,0,290,"Black, Eric","OR",0,1274.5,1.07627013630731,1426,0,0,0,0,"Bosnia: Fractured Region"
"106",272,0,0,7.7,0,1.83804213135069,1,291,"Pollan, Michael","IL",0,6489.5,2.07627013630731,2309,0,0,0,0,"Botany of Desire: A Plant's-Eye View of the World, The"
"107",499,1,0,10.2,0,-0.461957868649321,0,295,"Gilman, Rebecca","NY",0,5007.5,3.37627013630731,2064,0,1,0,0,"Boy Gets Girl: A Play"
"108",721,0,0,2,1,2.33804213135069,0,296,"Koertge, Ron","PA",0,4218,-1.62372986369269,3600,0,0,0,0,"Boy Girl Boy"
"109",128,0,0,-0.2,NA,7.33804213135069,0,297,"Levithan, David","CO",0,10346.5,8.67627013630731,NA,0,0,1,0,"Boy Meets Boy"
"110",86,0,0,7.4,0,-2.76195786864932,0,301,"Greene, Shep","CA",0,10119,2.57627013630731,480,0,0,0,0,"Boy Who Drank Too Much, The"
"111",85,0,0,7.4,0,-2.76195786864932,0,303,"Sachar, Louis","CA",0,10119,2.57627013630731,1452,0,1,0,0,"Boy Who Lost His Face, The"
"112",202,0,0,-6.8,1,-0.961957868649321,0,304,"Blacker, Terence","GA",1,2239.5,0.276270136307311,3731,0,1,0,0,"Boy2Girl"
"113",722,0,0,2,1,2.33804213135069,0,307,"Fischer, Debbie Reed","PA",0,4218,-1.62372986369269,3600,0,0,0,0,"Braless in Wonderland"
"114",244,1,0,-17.4,1,5.13804213135069,1,308,"Huxley, Aldous","ID",0,3194,-2.32372986369269,3487,0,0,0,0,"Brave New World"
"115",724,0,0,2,1,2.33804213135069,0,312,"Winton, Tim","PA",0,4218,-1.62372986369269,3600,0,0,0,0,"Breath"
"116",870,0,0,-1.7,0,1.93804213135068,1,316,"Paterson, Katherine","VA",0,11296,5.47627013630731,1917,0,1,0,0,"Bridge to Terabithia"
"117",10,1,0,-13.2,0,-4.26195786864932,0,318,"Koertge, Ron","AL",1,-5054,-5.02372986369269,2221,0,1,1,1,"Brimstone Journals, The"
"118",725,0,0,2,1,2.33804213135069,0,321,"Grimes, Nikki","PA",0,4218,-1.62372986369269,3600,0,0,0,0,"Bronx Masquerade"
"119",527,1,1,-0.7,0,3.43804213135068,0,329,"Cormier, Robert","OH",0,2469,-2.92372986369269,2848,0,0,0,0,"Bumblebee Flies Anyway, The"
"120",404,0,0,2.3,0,8.33804213135069,0,330,"Allard, Harry","MN",0,15378,3.37627013630731,50,1,0,0,0,"Bumps in the Night"
"121",135,0,0,-0.2,0,7.33804213135069,0,331,"Bahal, Aniruddha","CO",0,10346.5,8.67627013630731,1800,0,0,0,0,"Bunker 13"
"122",204,1,0,-6.8,1,-0.961957868649321,1,337,"Runyon, Brent","GA",0,2239.5,0.276270136307311,3307,0,1,0,0,"Burn Journals, The"
"123",599,0,0,4,0,5.53804213135068,0,340,"Blair, Jayson","OR",0,1274.5,1.07627013630731,1800,0,0,0,0,"Burning Down My Master's House"
"124",233,1,1,-17.4,0,5.13804213135069,1,342,"Pike, Christopher","ID",0,3194,-2.32372986369269,120,0,0,0,1,"Bury Me Deep"
"125",726,0,0,2,1,2.33804213135069,0,344,"Bildner, Phil","PA",0,4218,-1.62372986369269,3600,0,0,0,0,"Busted"
"126",340,0,0,-9.7,1,-4.76195786864932,0,345,"Brown, Marc","LA",0,-5120.5,-5.32372986369269,3600,0,0,1,0,"Buster's Sugartime"
"127",136,0,0,-0.2,0,7.33804213135069,0,346,"Schindel, John","CO",0,10346.5,8.67627013630731,1800,0,0,0,0,"Busy Penguins"
"128",130,0,0,-0.2,1,7.33804213135069,0,356,"Pilkey, Dav","CO",0,10346.5,8.67627013630731,3876,0,1,0,0,"Captain Underpants"
"129",377,0,0,3.8,0,3.83804213135069,0,356,"Pilkey, Dav","MI",1,2966,-2.22372986369269,1986,0,0,0,1,"Captain Underpants (series)"
"130",453,1,0,-10.4,0,4.33804213135069,0,356,"Pilkey, Dav","ND",0,-813,-2.02372986369269,905,0,1,0,0,"Captain Underpants and the Perilous Plot of Professor Poopypants"
"131",390,0,0,3.8,0,3.83804213135069,0,359,"Day, Alexandra","MI",0,2966,-2.22372986369269,653,0,0,0,0,"Carl Makes a Scrapbook"
"132",920,0,0,2.4,0,5.53804213135068,0,361,"Hyland, M.J.","WI",0,4234.5,-1.62372986369269,2759,0,0,0,1,"Carry Me Down"
"133",689,0,0,2,0,2.33804213135069,1,369,"Kaplow, Robert","PA",0,4218,-1.62372986369269,1675,0,1,0,0,"Cat Who Killed Lilian Jackson Braun, The"
"134",727,0,0,2,1,2.33804213135069,0,373,"Heller, Joseph","PA",0,4218,-1.62372986369269,3600,0,0,0,0,"Catch-22"
"135",728,0,0,2,1,2.33804213135069,0,374,"Salinger, J.D.","PA",0,4218,-1.62372986369269,3600,0,0,0,0,"Catcher in the Rye, The"
"136",234,1,1,-17.4,0,5.13804213135069,1,381,"Pike, Christopher","ID",0,3194,-2.32372986369269,120,0,0,0,1,"Chain Letter 2"
"137",898,0,0,13.4,1,6.83804213135069,1,383,"Hernandez, Gilbert","VT",0,8467,5.37627013630731,3213,0,0,0,0,"Chance in Hell"
"138",347,1,0,11.7,0,5.23804213135068,1,386,"DeMille, Nelson","MA",0,14048.5,9.17627013630731,0,0,0,0,0,"Charm School, The"
"139",413,0,0,-3.1,1,1.73804213135068,1,387,"Mac, Carrie","MO",0,1279.5,-2.42372986369269,3349,0,1,0,0,"Charmed"
"140",487,0,0,10.2,0,-0.461957868649321,1,388,"Dickey, Eric Jerome","NY",0,5007.5,3.37627013630731,2422,0,1,0,0,"Chasing Destiny"
"141",300,0,1,-6.2,1,2.53804213135068,0,397,"Crutcher, Chris","IN",0,1086.5,-4.62372986369269,3595,0,1,0,0,"Chinese Handcuffs"
"142",220,0,1,1,0,6.53804213135068,0,399,"Cormier, Robert","IA",0,3921.5,-2.82372986369269,75,0,0,0,0,"Chocolate War, The"
"143",374,0,0,3.8,1,3.83804213135069,0,405,"Perrault, Charles","MI",0,2966,-2.22372986369269,3190,0,0,0,1,"Cinderella, Puss in Boots, and Other Favorite Tales"
"144",693,0,0,2,NA,2.33804213135069,1,408,"Rice, Anne","PA",0,4218,-1.62372986369269,NA,0,0,0,0,"Claiming of Sleeping Beauty, The"
"145",633,0,0,4,0,5.53804213135068,0,411,"Ginsburg, Mirra","OR",0,1274.5,1.07627013630731,510,0,0,0,1,"Clay Boy"
"146",730,0,0,2,1,2.33804213135069,0,414,"Olmstead, Robert","PA",0,4218,-1.62372986369269,3600,0,0,0,0,"Coal Black Horse"
"147",171,0,0,7.1,0,4.43804213135068,1,416,"Sinclair, April","CT",0,16247.5,7.37627013630731,480,0,1,0,0,"Coffee Will Make You Black"
"148",634,0,0,4,0,5.53804213135068,0,417,"DeFelice, Cynthia","OR",0,1274.5,1.07627013630731,510,0,0,0,1,"Cold Feet"
"149",432,1,1,-4.3,0,-1.46195786864932,1,418,"Pike, Christopher","NC",0,-310,-1.52372986369269,1050,0,1,0,1,"Cold One, The"
"150",687,0,0,2,0,2.33804213135069,1,419,"Souljah, Sister","PA",0,4218,-1.62372986369269,2093,0,1,0,0,"Coldest Winter Ever, The"
"151",240,0,0,-17.4,0,5.13804213135069,1,421,"Walker, Alice","ID",0,3194,-2.32372986369269,3090,0,1,1,0,"Color Purple, The"
"152",479,0,0,2.4,0,-0.66195786864931,0,423,NA,"NM",0,-2401.5,-0.52372986369269,517,0,0,0,0,"Combat & Survival (series)"
"153",600,0,0,4,0,5.53804213135068,0,424,"Borhek, Mary","OR",0,1274.5,1.07627013630731,1800,0,0,1,0,"Coming Out to Parents"
"154",359,0,0,3.8,0,3.83804213135069,0,425,"Herder, Dale","MI",0,2966,-2.22372986369269,2511,0,0,0,0,"Commonsense Rediscovered"
"155",165,0,0,-0.2,0,7.33804213135069,0,426,"N/A","CO",0,10346.5,8.67627013630731,1425,0,0,0,0,"Complete Idiot's Guide to Day Trading"
"156",601,0,0,4,0,5.53804213135068,0,428,"Hogan, Steve","OR",0,1274.5,1.07627013630731,1800,0,0,1,0,"Completely Queer: the Gay & Lesbian Encyclopedia"
"157",586,0,0,4,0,5.53804213135068,0,435,"Holly, Emma","OR",0,1274.5,1.07627013630731,2088,0,0,0,0,"Cooking Up a Storm"
"158",44,0,0,7.4,0,-2.76195786864932,0,436,"Chapman, Dawn","CA",0,10119,2.57627013630731,1697,0,0,0,0,"Cool Women"
"159",732,0,0,2,1,2.33804213135069,0,438,"Draper, Sharon","PA",0,4218,-1.62372986369269,3600,0,0,0,0,"Copper Sun"
"160",107,0,0,-0.2,0,7.33804213135069,0,439,"Gavin, Jamila","CO",0,10346.5,8.67627013630731,1800,0,0,0,1,"Coram Boy"
"161",195,0,0,-1.8,0,0.33804213135069,0,443,"Naifeh, Ted","FL",0,372,-1.72372986369269,2399,0,1,0,0,"Courtney Crumrin and the Night Things"
"162",108,0,0,-0.2,0,7.33804213135069,0,445,"Wolf, Bernard","CO",0,10346.5,8.67627013630731,1800,0,1,0,0,"Cowboy"
"163",464,1,0,1.6,1,7.83804213135069,0,447,"Lippman, Laura","NH",0,17303,4.67627013630731,3509,0,0,0,0,"Crack Cocaine Diet, The"
"164",196,0,0,-1.8,0,0.33804213135069,1,450,"Sidhwa, Bapsi","FL",0,372,-1.72372986369269,2352,0,0,0,0,"Cracking India"
"165",419,1,0,-3.1,1,1.73804213135068,1,452,"Hopkins, Ellen","MO",0,1279.5,-2.42372986369269,3835,0,0,0,0,"Crank"
"166",286,1,0,-6.2,0,2.53804213135068,1,453,"Childress, Mark","IN",0,1086.5,-4.62372986369269,270,0,1,0,1,"Crazy in Alabama"
"167",172,1,0,7.1,0,4.43804213135068,1,456,"Lebert, Benjamin","CT",0,16247.5,7.37627013630731,515,0,0,0,0,"Crazy: A Novel"
"168",304,0,1,-11.5,0,6.43804213135068,0,462,"Schwartz, Alvin","KS",0,144.5,1.77627013630731,538,1,1,0,1,"Cross Your Fingers, Spit in Your Hat"
"169",93,0,0,-0.2,0,7.33804213135069,1,470,"King, Steven","CO",0,10346.5,8.67627013630731,1440,0,0,0,1,"Cujo"
"170",569,0,0,4,1,5.53804213135068,0,474,"Haddon, Mark","OR",0,1274.5,1.07627013630731,3249,0,1,0,0,"Curious Incident of the Dog in the Night-Time, The"
"171",734,0,0,2,1,2.33804213135069,0,477,"McCormick, Patricia","PA",0,4218,-1.62372986369269,3600,0,0,0,0,"Cut"
"172",387,0,0,3.8,0,3.83804213135069,0,480,"Brown, Dan","MI",0,2966,-2.22372986369269,1730,0,0,0,0,"Da Vinci Code, The"
"173",122,0,0,-0.2,0,7.33804213135069,0,484,"Willhoite, Michael","CO",0,10346.5,8.67627013630731,1425,0,0,1,0,"Daddy's Roommate"
"174",664,0,0,4,0,5.53804213135068,0,485,"Willhoite, Michael","OR",0,1274.5,1.07627013630731,180,0,0,1,0,"Daddy's Wedding"
