"number","crn","name","days","time","room","instructor","avail_max"
"ART 294-01","10857","Intersectional Medieval Art","M W F","2:20 - 3:20 pm","ARTCOM 102","Jennifer Awes Freeman","7 / 20"
"ART 294-02","10905","The Arts of Empire: European Global Empires of the Early Modern World","M W F","10:50 - 11:50 am","ARTCOM 102","Jacob Eisensmith","5 / 15"
"ART 327-01","10110","Japanese Art and the (Inter)National Modern","M W F","3:30 - 4:30 pm","ARTCOM 102","Kari Shepherdson-Scott","1 / 20"
"ART 332-01","10112","Traditional and Digital Illustration","M W  ","1:10 - 4:20 pm","ART 206","Megan Vossler","-1 / 10"
"ART 371-01","10113","Painting II"," T R ","8:00 - 11:10 am","ART 202","Chris Willcox","-1 / 7"
"ASIA 111-01","10875","Cultural Anthropology: Society and Culture in Asia","M W F","8:30 - 9:30 am","CARN 206","Arjun Guneratne","10 / 35"
"ASIA 113-F1","10700","Introduction to Buddhism","M W F","10:50 - 11:50 am","MAIN 111","Erik Davis","3 / 17"
"ASIA 123-01","10895","Masterpieces of Chinese Literature:  Love, Landscape, and Longing"," T R ","9:40 - 11:10 am","HUM 111","Kun You","12 / 20"
"ASIA 124-01","10702","Dharma and Dao: Big Ideas in India and China","M W F","10:50 - 11:50 am","MAIN 002","James Laine","2 / 12"
"ASIA 140-01","10420","Introduction to East Asian Civilization"," T R ","3:00 - 4:30 pm","MAIN 009","James Coplin","11 / 25"
"ASIA 194-01","10068","Introduction to Asian American Studies","M W F","1:10 - 2:10 pm","HUM 213","Jake Nagasawa","-1 / 16"
"ASIA 194-02","10425","Introduction to the History of South Asia","M W F","9:40 - 10:40 am","CARN 105","Niharika Yadav","15 / 25"
"ASIA 194-03","10809","Reading Plays: Asian and Asian American Playwrights","M W F","9:40 - 10:40 am","THEATR 101","kt shorb","-1 / 14"
"ASIA 244-01","10361","The Political Economy of Asia"," T R ","9:40 - 11:10 am","CARN 107","I-Chun Catherine Chang","14 / 20"
"ASIA 254-01","10469","Japanese Film and Animation: From the Salaryman to the Shojo","M W F","1:10 - 2:10 pm","HUM 110","Arthur Mitchell","0 / 20"
"ASIA 255-01","10213","China on Screen","M W F","10:50 - 11:50 am","HUM 112","Xin Yang","10 / 20"
"ASIA 282-F1","10471","Language and Identity in Japanese, Asian American, and Other Communities"," T R ","9:40 - 11:10 am","HUM 110","Satoko Suzuki","0 / 17"
"ASIA 327-01","10111","Japanese Art and the (Inter)National Modern","M W F","3:30 - 4:30 pm","ARTCOM 102","Kari Shepherdson-Scott","1 / 20"
"ASIA 336-01","10868","Japanese Sociocultural Linguistics"," T R ","1:20 - 2:50 pm","HUM 110","Satoko Suzuki","14 / 20"
"ASIA 394-01","10602","How Should We Live? Lessons From South Asia"," T R ","1:20 - 2:50 pm","HUM 112","Sumeet Patwardhan","8 / 15"
"BIOL 170-01","10115","Ecology and the Environment","M W F","9:40 - 10:40 am","THEATR 001","Michael Anderson","-1 / 32"
"BIOL 170-02","10297","Ecology and the Environment","M W F","1:10 - 2:10 pm","THEATR 200","Anika Bratt","-1 / 32"
"BIOL 170-L1","10117","Ecology/Environment Lab","   R ","8:00 - 11:10 am","OLRI 284","Michael Anderson","-2 / 22"
"BIOL 170-L2","10119","Ecology/Environment Lab","   R ","1:20 - 4:30 pm","OLRI 284","Michael Anderson","1 / 22"
"BIOL 170-L3","10121","Ecology/Environment Lab"," T   ","8:00 - 11:10 am","OLRI 284","Jerald Dosch","1 / 22"
"BIOL 180-01","10123","Biodiversity and Evolution","M W F","1:10 - 2:10 pm","OLRI 100","Kristina Curry Rogers","-1 / 36"
"BIOL 180-L1","10124","Biodiversity and Evolution Lab"," T   ","8:00 - 11:10 am","OLRI 273","Michael Anderson","-2 / 18"
"BIOL 180-L2","10125","Biodiversity and Evolution Lab"," T   ","1:20 - 4:30 pm","OLRI 273","Michael Anderson","1 / 18"
"BIOL 190-01","10126","Genetics","M W F","8:30 - 9:30 am","THEATR 200","Mary Montgomery","6 / 36"
"BIOL 190-02","10127","Genetics","M W F","1:10 - 2:10 pm","THEATR 202","Yao-Chung Chang","1 / 36"
"BIOL 190-L1","10128","Genetics Lab"," T   ","1:20 - 4:30 pm","OLRI 285","Mary Montgomery","0 / 24"
"BIOL 190-L2","10129","Genetics Lab","   R ","8:00 - 11:10 am","OLRI 285","Joseph Ly","2 / 24"
"BIOL 190-L3","10130","Genetics Lab","   R ","1:20 - 4:30 pm","OLRI 285","Joseph Ly","5 / 24"
"BIOL 200-01","10131","Cell Biology","M W F","8:30 - 9:30 am","THEATR 202","Phillip Rivera","-2 / 32"
"BIOL 200-02","10132","Cell Biology","M W F","10:50 - 11:50 am","THEATR 200","Elena Tonc","1 / 40"
"BIOL 275-01","10133","Outdoor Environmental Education in Theory, Policy and Practice","M W  ","1:10 - 2:10 pm","OLRI 243","Jerald Dosch","2 / 15"
"BIOL 275-L1","10136","Outdoor Envi/Educ Lab","    F","1:10 - 4:30 pm","OLRI 243","Jerald Dosch","2 / 15"
"BIOL 302-01","10139","Invertebrate Animal Diversity","M W F","9:40 - 10:40 am","OLRI 270","Sarah Boyer","2 / 12"
"BIOL 302-L1","10140","Invertebrate Animal Div Lab","   R ","1:20 - 4:30 pm","OLRI 273","Sarah Boyer","2 / 12"
"BIOL 304-01","10141","Neuroanatomy","M W F","9:40 - 10:40 am","OLRI 301","Megan Monko","0 / 14"
"BIOL 304-L1","10142","Neuroanatomy Lab","   R ","8:00 - 11:10 am","OLRI 275","Megan Monko","0 / 14"
"BIOL 312-01","10143","Microbiology","M W F","8:30 - 9:30 am","THEATR 204","Yao-Chung Chang","0 / 16"
"BIOL 312-L1","10144","Microbiology Lab","   R ","1:20 - 4:30 pm","OLRI 289","Yao-Chung Chang","0 / 16"
"BIOL 316-01","10145","Cell/Molecular Neuroscience","M W F","9:40 - 10:40 am","OLRI 370","Michelle Tong","4 / 16"
"BIOL 316-L1","10146","Cell/Molecular Neurosci Lab"," T   ","8:00 - 11:10 am","OLRI 275","Michelle Tong","4 / 16"
"BIOL 351-01","10192","Biochemistry I","M W F","10:50 - 11:50 am","OLRI 350","Kathryn Splan","1 / 32"
"BIOL 351-L1","10194","Biochemistry I Lab"," T   ","8:00 - 11:10 am","OLRI 289","Kathryn Splan","1 / 16"
"BIOL 351-L2","10196","Biochemistry I Lab"," T   ","1:20 - 4:30 pm","OLRI 289","Kathryn Splan","0 / 16"
"BIOL 357-01","10147","Immunology","M W  ","8:00 - 9:30 am","OLRI 300","Elena Tonc","2 / 16"
"BIOL 357-L1","10148","Immunology Lab"," T   ","8:00 - 11:10 am","OLRI 277","Elena Tonc","2 / 16"
"BIOL 359-01","10314","Big Data in Ecology","M W F","2:20 - 3:20 pm","OLRI 253","Martha Torstenson","6 / 12"
"BIOL 359-L1","10316","Big Data in Ecology Lab","M W F","3:30 - 4:30 pm","OLRI 253","Martha Torstenson","6 / 12"
"BIOL 369-01","10149","Developmental Biology","M W F","10:50 - 11:50 am","OLRI 273","Mary Montgomery","1 / 12"
"BIOL 369-L1","10150","Developmental Biology Lab","   R ","8:00 - 11:10 am","OLRI 273","Mary Montgomery","1 / 12"
"BIOL 380-01","10151","Animal Behavior: Fundamentals and Applications","M W F","10:50 - 11:50 am","OLRI 284","Stotra Chakrabarti","0 / 13"
"BIOL 380-L1","10153","Animal Behavior Lab"," T   ","1:20 - 4:30 pm","OLRI 284","Stotra Chakrabarti","0 / 13"
"BIOL 394-01","10155","Origins and Extinctions: Rocks & Life in Deep Time","M W  ","10:50 - 1:00 pm","OLRI 100","Kristina Curry RogersRaymond Rogers","0 / 16"
"BIOL 401-01","10157","Mechanisms of Memory","M W  ","8:00 - 9:30 am","OLRI 370","Michelle Tong","0 / 12"
"BIOL 485-01","10158","Wildlife Conservation in the Anthropocene: An International Perspective","M W F","12:00 - 1:00 pm","OLRI 284","Stotra Chakrabarti","1 / 14"
"BIOL 494-01","10160","Research in Psychoneuroimmunology","M    ",NA,NA,"Phillip Rivera","0 / 6"
"BIOL 494-L1","10161","Psychoneuroimmunology Lab"," T   ",NA,NA,"Phillip Rivera","0 / 6"
"CHEM 111-01","10162","General Chemistry I: Structure and Equilibrium","M W F","8:30 - 9:30 am","OLRI 350","Susan Green","1 / 36"
"CHEM 111-02","10163","General Chemistry I: Structure and Equilibrium","M W F","9:40 - 10:40 am","OLRI 350","Susan Green","0 / 36"
"CHEM 111-03","10164","General Chemistry I: Structure and Equilibrium","M W F","10:50 - 11:50 am","THEATR 205","Kelsey Boyle","0 / 36"
"CHEM 111-04","10165","General Chemistry I: Structure and Equilibrium","M W F","12:00 - 1:00 pm","THEATR 205","Kelsey Boyle","0 / 36"
"CHEM 111-05","10166","General Chemistry I: Structure and Equilibrium","M W F","1:10 - 2:10 pm","THEATR 205","Kelsey Boyle","4 / 36"
"CHEM 111-L1","10167","General Chemistry I Lab","  W  ","8:30 - 11:40 am","OLRI 341","Amy Rice","5 / 18"
"CHEM 111-L2","10168","General Chemistry I Lab","  W  ","1:10 - 4:20 pm","OLRI 341","Amy Rice","0 / 18"
"CHEM 111-L3","10169","General Chemistry I Lab"," T   ","8:00 - 11:10 am","OLRI 341","Marc RodwoginSusan Green","0 / 36"
"CHEM 111-L4","10170","General Chemistry I Lab"," T   ","1:20 - 4:30 pm","OLRI 341","Malia BorgAmy Rice","0 / 36"
"CHEM 111-L5","10171","General Chemistry I Lab","   R ","8:00 - 11:10 am","OLRI 341","Malia BorgAmy Rice","0 / 36"
"CHEM 111-L6","10172","General Chemistry I Lab","   R ","1:20 - 4:30 pm","OLRI 385","Malia Borg","0 / 18"
"CHEM 111-L7","10173","General Chemistry I Lab","  W  ","7:00 - 10:00 pm","OLRI 385","Malia Borg","0 / 18"
"CHEM 115-01","10174","Accelerated General Chemistry","M W F","12:00 - 1:00 pm","OLRI 301","Keith Kuwata","0 / 16"
"CHEM 115-L1","10175","Accelerated General Chem Lab","   R ","1:20 - 4:30 pm","OLRI 347","Amy Rice","0 / 16"
"CHEM 211-01","10176","Organic Chemistry I","M W F","8:30 - 9:30 am","OLRI 100","Ronald Brisbois","-2 / 32"
"CHEM 211-02","10177","Organic Chemistry I","M W F","9:40 - 10:40 am","THEATR 202","Dennis Cao","0 / 32"
"CHEM 211-03","10178","Organic Chemistry I","M W F","10:50 - 11:50 am","THEATR 202","Dennis Cao","15 / 32"
"CHEM 211-L1","10179","Organic Chemistry I Lab"," T   ","8:00 - 11:10 am","OLRI 383","Ronald Brisbois","0 / 16"
"CHEM 211-L2","10180","Organic Chemistry I Lab"," T   ","1:20 - 4:30 pm","OLRI 383","Ronald Brisbois","0 / 16"
"CHEM 211-L3","10181","Organic Chemistry I Lab","  W  ","1:10 - 4:20 pm","OLRI 383","Malia Borg","3 / 16"
"CHEM 211-L4","10182","Organic Chemistry I Lab","   R ","8:00 - 11:10 am","OLRI 383","Ronald Brisbois","0 / 16"
"CHEM 211-L5","10183","Organic Chemistry I Lab","   R ","1:20 - 4:30 pm","OLRI 383","Ronald Brisbois","0 / 16"
"CHEM 211-L6","10184","Organic Chemistry I Lab","    F","1:10 - 4:20 pm","OLRI 383","Malia Borg","10 / 16"
"CHEM 300-01","10185","Chemistry Seminar","  W  ","3:30 - 4:30 pm","OLRI 350","Thomas Varberg","16 / 70"
"CHEM 311-01","10186","Thermodynamics and Kinetics","M W F","2:20 - 3:20 pm","OLRI 301","Thomas Varberg","4 / 24"
"CHEM 311-L1","10187","Thermodynamics/Kinetics Lab"," T   ","8:00 - 11:10 am","OLRI 378","Thomas Varberg","1 / 8"
"CHEM 311-L2","10188","Thermodynamics/Kinetics Lab"," T   ","1:20 - 4:30 pm","OLRI 378","Thomas Varberg","2 / 8"
"CHEM 311-L3","10189","Thermodynamics/Kinetics Lab","   R ","8:00 - 11:10 am","OLRI 378","Susan Green","1 / 8"
"CHEM 320-01","10190","Computational Chemistry","   R ","1:20 - 4:30 pm","OLRI 370","Keith Kuwata","6 / 12"
"CHEM 351-01","10191","Biochemistry I","M W F","10:50 - 11:50 am","OLRI 350","Kathryn Splan","1 / 32"
"CHEM 351-L1","10193","Biochemistry I Lab"," T   ","8:00 - 11:10 am","OLRI 289","Kathryn Splan","1 / 16"
"CHEM 351-L2","10195","Biochemistry I Lab"," T   ","1:20 - 4:30 pm","OLRI 289","Kathryn Splan","0 / 16"
"CHEM 394-01","10197","Organic Spectroscopy","M    ","7:00 - 10:00 pm","OLRI 301","Dennis Cao","8 / 16"
"CHEM 411-01","10198","Advanced Inorganic Chemistry","M W F","8:30 - 9:30 am","OLRI 301","Paul Fischer","0 / 24"
"CHEM 411-L1","10199","Advanced Inorganic Chem Lab"," T   ","8:00 - 11:10 am","OLRI 380","Paul Fischer","0 / 8"
"CHEM 411-L2","10200","Advanced Inorganic Chem Lab"," T   ","1:20 - 4:30 pm","OLRI 380","Paul Fischer","0 / 8"
"CHEM 411-L3","10201","Advanced Inorganic Chem Lab","   R ","8:00 - 11:10 am","OLRI 380","Paul Fischer","0 / 8"
"CHIN 101-01","10202","First Year Chinese I","M W F","9:40 - 10:40 am","HUM 111","Patricia Anderson","9 / 20"
"CHIN 101-02","10203","First Year Chinese I","M W F","10:50 - 11:50 am","HUM 111","Patricia Anderson","7 / 20"
"CHIN 101-L1","10204","First Year Chinese I Lab"," T   ","8:30 - 9:30 am","HUM 102","Pei-Wen Fang","3 / 15"
"CHIN 101-L2","10205","First Year Chinese I Lab"," T   ","9:40 - 10:40 am","HUM 102","Pei-Wen Fang","7 / 15"
"CHIN 101-L3","10206","First Year Chinese I Lab"," T   ","1:20 - 2:20 pm","HUM 111","Pei-Wen Fang","11 / 15"
"CHIN 123-01","10894","Masterpieces of Chinese Literature:  Love, Landscape, and Longing"," T R ","9:40 - 11:10 am","HUM 111","Kun You","12 / 20"
"CHIN 203-01","10207","Second Year Chinese I","M W F","1:10 - 2:10 pm","HUM 111","Xin Yang","3 / 12"
"CHIN 203-02","10208","Second Year Chinese I","M W F","2:20 - 3:20 pm","HUM 111","Xin Yang","4 / 12"
"CHIN 203-L1","10209","Second Year Chinese I Lab","   R ","8:30 - 9:30 am","HUM 102","Pei-Wen Fang","10 / 15"
"CHIN 203-L2","10210","Second Year Chinese I Lab","   R ","9:40 - 10:40 am","HUM 102","Pei-Wen Fang","12 / 15"
"CHIN 203-L3","10211","Second Year Chinese I Lab","   R ","1:20 - 2:20 pm","HUM 111","Pei-Wen Fang","6 / 15"
"CHIN 255-01","10212","China on Screen","M W F","10:50 - 11:50 am","HUM 112","Xin Yang","10 / 20"
"CHIN 305-01","10215","Third Year Chinese I","M W F","9:40 - 10:40 am","HUM 112","Pei-Wen Fang","13 / 20"
"CHIN 305-L1","10216","Third Year Chinese I Lab","  W  ","10:50 - 11:50 am","HUM 113","Pei-Wen Fang","9 / 12"
"CHIN 305-L2","10217","Third Year Chinese I Lab","  W  ","1:20 - 2:20 pm","HUM 113","Pei-Wen Fang","8 / 12"
"CHIN 407-01","10218","Fourth Year Chinese I","M W F","9:40 - 10:40 am","HUM 102","Kun You","10 / 15"
"CLAS 111-01","10219","Elementary Latin I","M W F","2:20 - 3:20 pm","MAIN 003","Brian Lush","14 / 20"
"CLAS 111-L1","10220","Elementary Latin I Lab"," T   ","3:00 - 4:00 pm","MAIN 001","Brian Lush","14 / 20"
"CLAS 113-01","10221","Elementary Arabic I","M W F","2:20 - 3:20 pm","MAIN 011","Kelly Tuttle","16 / 20"
"CLAS 113-L1","10222","Elementary Arabic I Lab"," T   ","2:20 - 3:20 pm","OLRI 370","Kelly Tuttle","16 / 20"
"CLAS 117-01","10223","Elementary Hebrew I","M W F","12:00 - 1:00 pm","MAIN 010","Nanette Goldman","5 / 20"
"CLAS 117-L1","10224","Elementary Hebrew I Lab"," T   ","10:10 - 11:10 am","MAIN 003","Nanette Goldman","1 / 10"
"CLAS 117-L2","10225","Elementary Hebrew I Lab"," T   ","1:20 - 2:20 pm","MAIN 003","Nanette Goldman","4 / 10"
"CLAS 135-01","10704","India and Rome"," T R ","1:20 - 2:50 pm","OLRI 100","James LaineAndrew Overman","7 / 30"
"CLAS 192-01","10226","Preparing for Rome: A History of the Ancient City","   R ","3:00 - 4:30 pm","LIBR 250","Beth Severy-Hoven","1 / 20"
"CLAS 200-01","10597","Ancient and Medieval Philosophies"," T R ","3:00 - 4:30 pm","MAIN 010","Rotem Herrmann","2 / 20"
"CLAS 231-01","10228","Intermediate Latin I: Prose","M W  ","8:00 - 9:30 am","MAIN 010","Brian Lush","7 / 20"
"CLAS 241-01","10229","Intermediate Arabic I","M W F","12:00 - 1:00 pm","MAIN 009","Kelly Tuttle","12 / 20"
"CLAS 241-L1","10230","Intermediate Arabic I Lab"," T   ","1:10 - 2:10 pm","OLRI 370","Kelly Tuttle","12 / 20"
"CLAS 260-01","10094","Introduction to Art History I: From Prehistory to the Medieval Period","M W F","12:00 - 1:00 pm","ARTCOM 102","Jennifer Awes Freeman","-4 / 25"
"CLAS 261-01","10231","Intermediate Greek: Prose"," T R ","9:40 - 11:10 am","MAIN 002","Andrew Overman","7 / 16"
"CLAS 294-01","10826","Historical Journey: From Greek Theater to the Restoration","M W F","12:00 - 1:00 pm","THEATR 101","Randy Reyes","1 / 12"
"CLAS 338-01","10232","Intermediate Hebrew II","M W F","2:20 - 3:20 pm","MAIN 002","Nanette Goldman","4 / 10"
"CLAS 490-01","10234","Senior Seminar"," T R ","1:20 - 2:50 pm","LIBR 250","Beth Severy-Hoven","2 / 15"
"COMP 112-01","10486","Introduction to Data Science"," T R ","1:20 - 2:50 pm","THEATR 205","Alicia Johnson","-2 / 24"
"COMP 112-02","10488","Introduction to Data Science"," T R ","9:40 - 11:10 am","THEATR 200","Brianna Heggeseth","-3 / 24"
"COMP 112-03","10490","Introduction to Data Science","M W F","9:40 - 10:40 am","THEATR 002","Amin Alhashim","1 / 24"
"COMP 112-04","11001","Introduction to Data Science","M W F","8:30 - 9:30 am","THEATR 201","Andrew Beveridge","1 / 16"
"COMP 123-01","10492","Core Concepts in Computer Science","M W F","8:30 - 9:30 am","OLRI 258","Lian Duan","-1 / 25"
"COMP 123-02","10493","Core Concepts in Computer Science","M W F","9:40 - 10:40 am","OLRI 258","Lian Duan","2 / 25"
"COMP 123-03","10494","Core Concepts in Computer Science","M W F","10:50 - 11:50 am","OLRI 258","Elizabeth Ernst","3 / 25"
"COMP 123-04","10495","Core Concepts in Computer Science","M W F","12:00 - 1:00 pm","OLRI 258","Elizabeth Ernst","2 / 25"
"COMP 123-05","10496","Core Concepts in Computer Science","M W F","1:10 - 2:10 pm","OLRI 258","Getiria Onsongo","3 / 25"
"COMP 127-01","10497","Object-Oriented Programming and Abstraction","M W F","9:40 - 10:40 am","OLRI 256","Joslenne Peña","3 / 16"
"COMP 127-02","10498","Object-Oriented Programming and Abstraction","M W F","10:50 - 11:50 am","OLRI 256","Abby Marsh","4 / 16"
"COMP 127-03","10499","Object-Oriented Programming and Abstraction","M W F","12:00 - 1:00 pm","OLRI 256","Amin Alhashim","10 / 16"
"COMP 127-04","10500","Object-Oriented Programming and Abstraction","M W F","1:10 - 2:10 pm","OLRI 256","Paul Cantrell","1 / 16"
"COMP 128-01","10501","Data Structures","M W F","2:20 - 3:20 pm","OLRI 241","Bret Jackson","0 / 20"
"COMP 128-02","10502","Data Structures","M W F","3:30 - 4:30 pm","OLRI 241","Suhas Arehalli","1 / 20"
"COMP 194-01","10482","Introduction to Computational Methods in Linguistics","M W F","2:20 - 3:20 pm","HUM 314","Zuoyu Tian","5 / 20"
"COMP 194-02","10560","Critical Race and Digital Studies"," T R ","1:20 - 2:50 pm","OLRI 258","Tia-Simone GardnerGetiria OnsongoAisling Quigley","2 / 16"
"COMP 194-F1","10503","Explorations/Extended Reality","M W F","10:50 - 11:50 am","OLRI 241","Bret Jackson","1 / 16"
"COMP 212-01","10504","Intermediate Data Science"," T R ","1:20 - 2:50 pm","THEATR 200","Brianna Heggeseth","-1 / 26"
"COMP 221-01","10506","Algorithm Design and Analysis","M W F","10:50 - 11:50 am","OLRI 254","Lian Duan","4 / 28"
"COMP 225-01","10507","Software Design and Development","M W F","12:00 - 1:00 pm","OLRI 245","Joslenne Peña","6 / 16"
"COMP 225-02","10508","Software Design and Development","M W F","1:10 - 2:10 pm","OLRI 245","Lauren Milne","5 / 16"
"COMP 225-03","10509","Software Design and Development","M W F","2:20 - 3:20 pm","OLRI 245","Lauren Milne","12 / 16"
"COMP 240-01","10510","Computer Systems","M W F","2:20 - 3:20 pm","OLRI 258","Susan Fox","-3 / 26"
"COMP 381-01","10511","Programming Languages","M W F","3:30 - 4:30 pm","OLRI 254","Paul Cantrell","-3 / 25"
"COMP 394-01","10512","Natural Language Processing"," T R ","3:00 - 4:30 pm","OLRI 245","Suhas Arehalli","7 / 20"
"COMP 445-01","10513","Parallel and Distributed Processing"," T R ","3:00 - 4:30 pm","OLRI 256","Libby Shoop","9 / 14"
"COMP 456-01","10514","Projects in Data Science"," T R ","1:20 - 2:50 pm","OLRI 245","Shilad Sen","2 / 20"
"COMP 479-01","10516","Network Science","M W F","10:50 - 11:50 am","THEATR 201","Andrew Beveridge","-6 / 16"
"COMP 484-01","10518","Introduction to Artificial Intelligence","M W F","3:30 - 4:30 pm","OLRI 258","Susan Fox","3 / 27"
